с+A1:B23татус комментариев,Комментарии,"СoolServis, автосервис"
1,"Сделали все по электрике на отлично, плюс сигнализацию выставили хорошо, рекомендую",
1,"Из года в год приезжаю только на это сто на замену масла , антифриза , на ремонт . Всегда подскажут , закажут запчасти и масло. Работают на совесть уже проверено и цены адекватные. Советую.",
1,"Лучшие в своем деле, прошили фары и блоки фар на Mercedes glb 250. Спасибо!",
1,"Марк тигр, лучшая диагностика",
1,"Все понравилось, чисто и аккуратно. Работают профессионалы, и электрик и моторист есть, и запчасти от а до я, если нет то знают где достать, че только не делали, мастера на все руки. Цены не заряжают, как 90% сервисов. Делают на совесть, на всю работу дают гарантию, что не мало важно. Собственная парковка еще есть. ",
1,Зекен знает свою работу всем советую красавчик удачи им постоянно буду к ним заезжать они умеют решать проблему тооопп,
-1,Будем судиться. Предоставление услуг не соответствующие качеству.,
-1,Цены загибают нереально.,
1,"Нормальные ребята, доберутся туда, куда другие не смогут или побоятся! Обращаюсь к ним постоянно, а те что ставят 1 звезду сто процентов заказные!",
-1,Меняли основной радиатор сняли от кондера для доступа к нему в итоге минус компрессор. Меняли фильтра на бензонасосе в итоге минус бензонасос. Чистили форсунки в итоге минус форсунки. Никому не рекомендую,
-1,"Поставил тачку, простояла 3 дня, так и не чего не решили, никакой обратной связи, даже не притронулись к ней, так нельзя относится к клиентам, а дело вообще в пустяке",
1,"Обратился в данном сервис когда были проблемы в двигателе, сделали капитальный ремонт, со сроком не тянули, сделали быстро. К качеству у меня претензий нет. Руслан мастер отличный, доволен его работой",
1,"Проводили замену прокладки ГБЦ в Cool Servis, сделали все хорошо. Понравилось высокое качество работы, скорость и отношение к клиентам",
1,"Делал капитальный ремонт двигателя. Понравился сервис-менеджер и техник Данияр, люди адекватные, стрессоустойчивые, специалисты в своем деле",
0,"В сервисе нет проблем, сделали всё, что надо.",
1,"Ремонтировал в этом сервисе двигатель на Рио. В двигателе копались дня три, сказали, серьезная была поломка. Но в итоге все устранили. Цена немаленькая, но я думаю, у серых и гаражных я бы потратил еще больше, да и не факт, что они решили бы вопрос",
0,"Норм сервис, смогли провести капитальный ремонт дизеля за несколько дней.",
1,"В автосервисе мне оказали услуги быстро и оперативно. У меня не тянул двигатель, поэтому меняли датчик коленвала. После замены все отлично работает, супер! Персонал общался вежливо и корректно, на профессиональном уровне",
1,Ремонт двигателя на Chevrolet Cruze выполнен очень быстро и качественно. Моторист Руслан справился за 5 часов. Сейчас автомобиль хорошо работает,
1,"Обратился с проблемой некорректной работы двигателя. Другой сервис приговорил мне ремонт на большую сумму денег. Заехал удостовериться и был приятно удивлен. Сотрудники дотошно проводили диагностику и все таки нашли причину. Оказалось, проблема в повреждении проводки датчика дроссельной заслонки. Отсюда абсолютна другая сумма ремонта, значительно ниже. Спасибо за профессионализм",
1,Мастера не задавали лишних вопросов и работу выполнили за разумные деньги,
0,"Вернулся из сервиса, была замена грм, в сервисе был первый раз и остался очень доволен, вежливые приемщики, обо всех проблемах которые обнаруживают в машине оповещают. Работу выполняют качественно и быстро.Молодцы",
1,"В последний раз они проводили мне замену ГРМ в Приоре. Изначально обратился совершенно случайно, потому что мне нужно было посмотреть подвеску",
1,Из-за продольного люфта в картридже пропала приемистость двигателя. В Cool servis сняли турбину и заменили изношенные детали. Сделали адаптацию. Ошибок нет. У ребят есть все необходимые стенды для диагностики и ремонта. С меня респект,
1,"Приезжал недавно в Кулсервис, делали ребята плановую замену масла в двигателе и меняли фильтра. Очень доволен сервисом обслуживания, и оперативностью выполненных работ",
1,У меня в личном пользовании машина марки Ситроен. Недавно пригоняли её на капитальный ремонт двигателя. Всё обговорил с мастером Данияр. С ремонтом не задержали. Всё сделали в обговорённое время и по цене приемлемо,
1,"Обратился в компанию чтобы провели диагностику, так как двигатель на моём Туареге что-то стал барахлить. После проведения диагностики выявили, что необходим капитальный ремонт (((Думала, что месяц буду без машины, но ребята сделали ремонт достаточно быстро и качественно!",
1,Один из самых экономных сервисов где точно все отремонтируют и возьмут за работу дешевле всех остальных узкоспециальных сервисов,
1,"Ремонтировал свой Opel Astra в сервисе. Работали и над ходовой частью. Ребята все делают четко, всегда идут навстречу. Спасибо мастеру-приемщику Данияру и всей остальной команде",
1,"Сервис хороший, по качеству проведенного ремонта замечай не было. В рем зоне всё можно посмотреть и на месте решить все вопросы",
1,"Огромное спасибо за быстрое решение проблемы с панорамной крышей на Chevrolet Equinox, за которую никто в других сервисах не хотел браться, включая официального дилера. Все было устранено за полдня",
1,"Мастер Денис красавчик
Помог папе
Машина камри 45
Рахмет еще раз от души",
1,"Хотели обмануть. Привез им машину замерить давления масла в двигателе, горел чайник. Сказали оставить машину, будет долго, я уехал. Через пару часов звонят все, говорят давления нет мотор скоро стукнет. Приехал,показали видео с монометром, типа вот, давления нет. Я спрашиваю что делать, говорят разбирать, смотреть, работа 300тыс потом запчасти на 200ьыс насчитали. Я почисал репу, думаю давай завтра решу. На свежую голову поехал другой сто, при мне замерили показывает 4очка. Поменял датчик и чайник больше не горит. На все про все ушел час. Короче сволочи они",
-1,"Искал электрика поменять лампочки на панели, повёлся на положительные отзывы, приехал с утра, электрик Игорь должен был поменять лампочки, оставил машину на СТО. В обед забирал - сказали готово поменяли лампочки и я спокойно уехал, вечером, как стемнело, вижу: не горит подсветка справо спидометра шкалы скорости. Позвонил к ним, сказали заезжайте, договорились на среду на неделе на 10.00, специально отпросился с работы, приехал - электрика нет, заболел. Ок думаю, с кем не бывает, Позвонил электрику Игорю, договорились на субботу на 10.00. Приехал, нет Игоря, телефон отключён, в общем элементарно могли бы позвонить или написать, безответственное отношение, чтобы зря не тратить время клиентов, наоборот кидают, при этом заплатил им за работу как договаривались, но работу до конца не сделали, не устранили свой косяк, в обшем устал бегать за ними, теперь придётся искать других мастеров. Не советую обращаться к ним по электрике",
-1,"Ремонтировал в этом сервисе турбину. Пустили в ремзону посмотреть, ребята позитивные, показали в чем проблема была. После сборки турбину отрегулировали на оборудовании. Машина едет, как по маслу. Восстановили за несколько часов",
1,"Проводили замену прокладки ГБЦ в Cool Servis, сделали все хорошо. Понравилось высокое качество работы, скорость и отношение к клиентам!",
1,"Спасибо автоэлектрику, по телефону все разложил по полочкам, решили проблему",
1,"В сервисе нет проблем, сделали всё, что надо. Делал замену опоры двигателя автомобиля. Мастера справились за час. Запчасти были мои",
1,"Норм сервис, смогли провести капитальный ремонт дизеля за несколько дней. Сделали качественно. Заказали с ними детали, определили объем работ и я оставил машину",
1,Обратился сюда по рекомендации знакомого. Менял цепь ГРМ. Качеством и сроками полностью доволен. Сделали всë как обещали. Рекомендую,
1,Делаю здесь ТО и другие работы по своей ласточки. Электрик Игорь просто профессионал своего дела. Приезжайте сюда и не пожалеете,
1,"УЖАС!!! ХАМСТВО!!! Дорогие автомобилисты, если ваша машина сломалась, то лучше вызовите эвакуатор и езжайте к своим порядочным сервисам. У меня сломался Генератор, обратился в самый ближайший «сервис» и сказал им что мне срочно надо починить генератор, привез машину, причина поломки была очевидной, возможно щетки надо менять. Спросил у Сергея стоимость работы, он не ответил. Ко мне отправили одного «мастера», который даже ремень генератора не смог снять, пришлось самому всё это делать. Ну думаю, ладно, может новенький, после разобрали генератор, причиной была износ щёток, сказали что у них есть щетки, но они от Лексуса и б/у. Думаю ладно, главное починить, да и по сумме думал выйдет недорого. Затем пришлось самому устанавливать генератор, т.к. все мастера непонятно чем заняты. В итоге, после того как я установил свой генератор я спросил по стоимости, на что мне зарядили 20000 тг, ЗА ЧТО??? На авторазборе за эту стоимость можно купить сам генератор. Всю работу по демонтажу и монтажу генератора я выполнил сам, запчасть которую мне установили была не новой, а остаток после какого то лексуса, которую вообще должны были выкинуть в мусор, а они эту деталь продают другим. Сергей аргументирует это тем, что я сказал им «Нужно срочно починить» хотя с их стороны никакой срочностью даже и не пахло. Плюсом они ещё сказали мне принести КАРБ с магазина который стоит 1000 тг. Когда я им выразил недовольство за необоснованный выставленный счёт, они толпой начали быковать. У меня в машине сидел 4-х летний сын, за безопасность которого я отвечаю своей жизнью. Мы живем в правовом государстве где отношения не выясняют как в сериале БРИГАДА. Мне пришлось оплатить счёт по их условиям. Чек они мне не дали, Внутри «сервиса» ужасный беспорядок, кабели повсюду, грязь, и вообще интересно проверяют ли их на пожаробезопасность🤔 Возникает очень много вопросов. Берегите себя и своих близких от не добросовестных «сервисов». Всегда спрашивайте стоимость услуги до того как они начнут работу.",
1,Спасибо за такое отношение человеческое,
1,"Хороший сервис, спасибо Сергею и Данияру, 2 месяца катался без кондиционера, все ток и делали что заправляли, а тут и причину нашли, и устранили и заправили. Спасибо огромное. Ещё заеду",
1,"Машина путешествовала почти месяц по всем сто, никак не могли найти причину, просто не хочет заводится машина и тут мне посоветовал один знакомый эту сто, завели за 1 день, электрики просто молодцы, советую всем. Объяснят и расскажут все",
1,"Рекомендую всем. У меня Ауди 80 ""бочка"", до этого сервиса был в нескольких мастерских, везде либо не хо ели браться ссылаясь на года машины, либо говорили что ремонт займёт несколько дней. Заехал сюда. Сергей, Данияр и Игорь очень хорошие авто электрики, оперативно и качественно устранили проблемы, что понравилось в отличии от многих других сервисов здесь не только устроняют неисправность, но ещё и ищут причину повлекшую засобой поломку. Также здесь очень высоко квалифицированный моторист Дядя Руслан. Спасибо что Вы есть, процветания Вашему сервису!",
-1,Спасибо мужикам за помощь.Отдельное спасибо автоэлектрикам.Быстро нашли причину и устранили,
1,Не сказал бы что прям все хорошо но обратиться можно,
1,"Огромное спасибо мужикам. Вот прям большое!!!! Помогли, рассказали все доступно. Сделали все быстро и качественно. Несколько сервисов объездил, а помогли только здесь. Теперь только к Вам",
1,"Объездил 4 сервиса, только в этом нашли причину и исправили, причём за один день. Хороший сервис",
1,"Спасибо за понимание, и быстрый ремонт",
1,Рахмет жигиттерге)) тезірек жасапперді,
0,Делал генератор у них. Сделали нормально. Объяснили что лучше брать. Всё устроило,
1,"Сервис хороший, не знаю что все наговаривают. Прочитав отзывы боялся заезжать но после того созвонился подъехал, впечатление поменялось. Сделали быстро, качественно. Ни запчасти ничего не пришлось искать, сами все нашли , привезли и установили",
1,"В целом сервис нормальный, мужики простые. Общительные, из сервиса не выгоняют можно стоять смотреть, можно уйти. В целом понравилось",
1,"НЕ профи, не умеют ничего делать! Сергей врет всем всегда! Цена за ремонт стартера и генератора - ВРАНЬЕ!!! смешно пишет от 10 тыс... нет там такого, минимум 30 тыс за снять возьмут, 40 тыс взяли с меня. Обманули с запчастями, взяли 60 тыс переводом, за новую запчасть, а поставили Б/у.... Фото прикреплю!!",
1,"Бегите оттуда! Цены - обман, берут деньги и не делают работу! Лишь бы сорвать куш, не думают ни о чем. Сергей живет 1 днем, надеюсь ему попадется клиент, который даст ему понять, что жить надо честно! Ужасно все, не закрутили защиту, ее оторвало по дороге. Не захотели восстанавливать... Грубияны... Очееь дорого!",
1,"Отвратительно! Цены не действительные! Обманывают на всем, ни в коем случае не давайте покупать зап части, обманут в три дорого. Сергей самый главный берущий деньги и не выполняющий работу!!!!!! Ни единому слову не верьте.",
1,"Электрик Игорь специалист своего дела , быстро нашёл неисправность и починил . Всем советую",
1,Спасибо за сервис. Самый хороший СТО. Приехала и не пожалела очень хорошие мастера. Советую всем. Удачи и процветания вам,
-1,"Спасибо за сервис и главное качество!!! Обслуживание отличное, у мастеров золотые руки и цены адекватные. Приехала по рекомендации и не пожалела. Процветания и успехов в вашем деле",
-1,"Хороший авто электрик Серёжа профессионал,спасибо",
-1,Ужас Сергей больше нет слов сказал через 2 часа будет готово ждали 4 часа ничего не сделал тормоз бопше не ходите туда,
1,"Очень оперативно решили проблему, завели AUDI Q5 после дтп, отдельное спасибо ZKN",
1,"Шараж монтаж, обдираловка",
1,Обдиралово денег взяли столько денег а оказалось причина в другом.не советую,
1,"Просто ужас! Звонил по 2ум телефонам, друг с другом не контактируют, договорился на 4 часа дня, позвонил в 4 сказали в 6 позвонить, позвонил в 6 сказали никого уже нет. Договорился на следующий день. Утром позвонил никто не берет чуть позже приехал все закрыто никого нет. Отношение конечно ужасное!!!! Не советую терять время!",
-1,Не знаеть свой работу электрик тупой,
1,"Грамотные спецы, быстро решили вопрос",
-1,"Оперативно, без соплей. Молодцы",
-1,"Трубку не берут, российское авто не принимают. Можете сюда не ехать у кого автоВаз, зря время потеряете",
-1,Спасибо Руслану и Сергею. Посмотрел много СТО в городе. В основном везде хамоватые мужики или администраторы или просто трубку не берут. А здесь вежливые и не надменные профессионалы своего дела. Приехал со следующим вопросом: загорелся Чек и Антизанос. Цена диагностики адекватная 4000 тг. Исправили быстро и все объяснили. Ещё приеду сюда,
-1,Спасибо Руслану за быстрое решение всех проблем,
1,"Огромное спасибо мастеру своего дела Руслану за то что оживил мой двигатель. До него два мастера пытались, но не справились. Всем советую этот сервис",
